


2022-08-18 17:04:24 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:26 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:26 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:28 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:28 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:30 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:30 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:32 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:33 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:35 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:35 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:37 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:37 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:39 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:39 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:41 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:41 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:44 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:44 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:46 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:46 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:48 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:48 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:50 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:50 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:53 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:53 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:55 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:55 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:57 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:57 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:59 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:59 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:01 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:02 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:04 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:04 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:06 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:06 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:08 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:08 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:10 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:10 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:13 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:13 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:15 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:15 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:17 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:17 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:19 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:19 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:22 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:22 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:24 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:24 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:26 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:26 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:28 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:28 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:31 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:31 [BARCODE] SERIAL ttyS4 OPEN FAIL
